,State_y,State,year,cost
0,Connecticut,CT,2019,650.0
1,Maine,ME,2019,500.0
2,Massachusetts,MA,2019,650.0
3,New Hampshire,NH,2019,555.0
4,Rhode Island,RI,2019,600.0
5,Vermont,VT,2019,555.0
6,New Jersey,NJ,2019,490.0
7,New York,NY,2019,580.0
8,Pennsylvania,PA,2019,430.0
9,Illinois,IL,2019,470.0
10,Indiana,IN,2019,725.0
11,Michigan,MI,2019,500.0
12,Ohio,OH,2019,573.0
13,Wisconsin,WI,2019,600.0
14,Iowa,IA,2019,730.0
15,Kansas,KS,2019,744.0
16,Minnesota,MN,2019,652.0
17,Missouri,MO,2019,535.0
18,Nebraska,NE,2019,730.0
19,North Dakota,ND,2019,650.0
20,South Dakota,SD,2019,710.0
21,Delaware,DE,2019,490.0
22,District of Columbia,DC,2019,460.0
23,Florida,FL,2019,550.0
24,Georgia,GA,2019,475.0
25,Maryland,MD,2019,390.0
26,North Carolina,NC,2019,458.0
27,South Carolina,SC,2019,620.0
28,Virginia,VA,2019,440.0
29,West Virginia,WV,2019,725.0
30,Alabama,AL,2019,575.0
31,Kentucky,KY,2019,700.0
32,Mississippi,MS,2019,600.0
33,Tennessee,TN,2019,600.0
34,Arkansas,AR,2019,575.0
35,Louisiana,LA,2019,700.0
36,Oklahoma,OK,2019,600.0
37,Texas,TX,2019,600.0
38,Arizona,AZ,2019,590.0
39,Colorado,CO,2019,520.0
40,Idaho,ID,2019,650.0
41,Montana,MT,2019,799.0
42,Nevada,NV,2019,500.0
43,New Mexico,NM,2019,490.0
44,Utah,UT,2019,450.0
45,Wyoming,WY,2019,675.0
46,Alaska,AK,2019,800.0
47,California,CA,2019,680.0
48,Hawaii,HI,2019,845.0
49,Oregon,OR,2019,550.0
50,Washington,WA,2019,650.0
51,Connecticut,CT,2020,650.0
52,Maine,ME,2020,500.0
53,Massachusetts,MA,2020,650.0
54,New Hampshire,NH,2020,555.0
55,Rhode Island,RI,2020,675.0
56,Vermont,VT,2020,555.0
57,New Jersey,NJ,2020,490.0
58,New York,NY,2020,580.0
59,Pennsylvania,PA,2020,470.0
60,Illinois,IL,2020,470.0
61,Indiana,IN,2020,834.0
62,Michigan,MI,2020,550.0
63,Ohio,OH,2020,588.0
64,Wisconsin,WI,2020,600.0
65,Iowa,IA,2020,730.0
66,Kansas,KS,2020,763.0
67,Minnesota,MN,2020,668.0
68,Missouri,MO,2020,
69,Nebraska,NE,2020,730.0
70,North Dakota,ND,2020,650.0
71,South Dakota,SD,2020,710.0
72,Delaware,DE,2020,490.0
73,District of Columbia,DC,2020,425.0
74,Florida,FL,2020,550.0
75,Georgia,GA,2020,500.0
76,Maryland,MD,2020,390.0
77,North Carolina,NC,2020,420.0
78,South Carolina,SC,2020,620.0
79,Virginia,VA,2020,433.0
80,West Virginia,WV,2020,495.0
81,Alabama,AL,2020,525.0
82,Kentucky,KY,2020,700.0
83,Mississippi,MS,2020,600.0
84,Tennessee,TN,2020,600.0
85,Arkansas,AR,2020,722.0
86,Louisiana,LA,2020,600.0
87,Oklahoma,OK,2020,638.0
88,Texas,TX,2020,685.0
89,Arizona,AZ,2020,605.0
90,Colorado,CO,2020,458.0
91,Idaho,ID,2020,650.0
92,Montana,MT,2020,550.0
