Geographic Region and State,Median cost of medication abortion services 2017,Median cost of medication abortion services 2018,Median cost of medication abortion services 2019,Median cost of medication abortion services 2020,Median cost of medication abortion services 2021,Median cost of medication abortion services 2022,Median cost of medication abortion services 2023,Median cost of first trimester procedural abortion services 2017,Median cost of first trimester procedural abortion services 2018,Median cost of first trimester procedural abortion services 2019,Median cost of first trimester procedural abortion services 2020,Median cost of first trimester procedural abortion services 2021,Median cost of first trimester procedural abortion services 2022,Median cost of first trimester procedural abortion services 2023,Median cost of second trimester procedural abortion services 2017,Median cost of second trimester procedural abortion services 2018,Median cost of second trimester procedural abortion services 2019,Median cost of second trimester procedural abortion services 2020,Median cost of second trimester procedural abortion services 2021,Median cost of second trimester procedural abortion services 2022,Median cost of second trimester procedural abortion services 2023
United States (Total),495,500,560,560,568,560,563,475,495,559,575,625,625,650,935,960,*,898,775,800,1000
Northeast,495,495,535,500,550,550,550,450,456,535,519,555,575,650,802,852,*,770,650,713,896
New England,619,619,650,555,555,555,525,657,619,650,700,657,657,729,852,877,*,828,650,852,965
Connecticut,619,619,650,650,620,619,600,657,638,705,760,657,657,657,802,852,*,802,650,852,852
Maine,525,525,500,500,500,500,525,500,500,525,525,525,525,651,600,600,*,828,763,763,1000
Massachusetts,558,558,650,650,650,650,650,583,583,700,700,700,700,750,2025,2025,*,1075,725,725,2125
New Hampshire,*,*,555,555,555,586,553,*,*,558,556,600,579,650,*,*,*,668,*,*,965
Rhode Island,523,523,600,675,600,420,200,658,658,703,675,730,725,776,1875,1875,*,798,855,*,*
Vermont,*,*,555,555,555,555,264,*,*,555,555,555,555,778,*,*,*,828,*,*,1000
Middle Atlantic,450,450,500,500,550,550,550,425,425,490,500,500,516,630,540,540,*,725,590,695,872
New Jersey,400,400,490,490,490,490,483,380,380,400,410,415,430,495,480,480,*,510,700,575,1095
New York,450,450,580,580,580,600,600,463,463,538,519,580,600,701,1059,1059,*,1188,600,698,850
Pennsylvania,450,450,430,470,448,500,555,450,450,528,500,478,516,594,540,540,*,713,550,600,792
Midwest,475,480,535,550,550,550,475,475,495,540,625,647,650,700,710,725,*,820,815,846,1072
East North Central,468,475,500,525,550,513,475,463,469,500,545,550,550,650,695,695,*,745,835,895,1095
Illinois,475,475,470,470,490,470,470,455,455,475,480,463,515,495,1390,1390,*,545,1385,973,1385
Indiana,525,525,725,834,834,834,150,425,425,725,834,913,913,#,*,*,*,*,*,*,#
Michigan,450,450,500,550,550,550,600,495,495,500,500,550,550,700,695,695,*,588,675,675,950
Ohio,510,525,573,588,650,700,650,440,420,540,625,650,700,758,740,675,*,820,1100,1025,1100
Wisconsin,*,625,600,600,600,--,150,*,650,685,738,738,--,*,*,1400,*,1123,*,--,*
West North Central,650,650,720,730,730,730,560,650,650,730,755,727,735,925,1188,1213,*,1065,815,790,1050
Iowa,*,950,730,730,730,730,730,*,700,825,820,820,820,1150,*,*,*,1065,*,*,*
Kansas,669,669,744,763,735,735,743,669,669,760,760,735,735,988,750,750,*,1513,815,1168,1600
Minnesota,*,645,652,668,650,603,400,*,720,658,700,700,700,738,*,1575,*,1360,748,748,846
Missouri,*,*,535,*,*,--,150,*,*,545,478,470,--,#,*,*,*,3600,2885,--,#
Nebraska,600,600,730,730,730,730,730,600,600,825,820,825,825,925,1625,1625,*,1065,*,--,--
North Dakota,*,625,650,650,650,650,150,*,625,650,675,675,675,725,*,850,*,975,*,*,1050
South Dakota,*,*,710,710,661,--,150,*,*,1043,843,643,--,#,*,*,*,*,643,--,#
South,450,475,520,520,520,493,500,400,450,503,550,565,500,575,828,800,*,900,675,538,810
South Atlantic,415,445,475,490,495,493,500,400,400,450,493,500,500,575,778,805,*,750,671,538,810
Delaware,*,*,490,490,490,490,269,*,*,525,490,490,490,500,*,*,*,716,673,*,750
