,State,age,percent
0,AK,≤6,33.4
1,AZ,≤6,29.9
2,CO,≤6,34.8
3,DE,≤6,32.3
4,FL,≤6,35.1
5,GA,≤6,60.0
6,HI,≤6,33.0
7,ID,≤6,39.9
8,IN,≤6,24.5
9,IA,≤6,29.8
10,KS,≤6,25.7
11,KY,≤6,29.3
12,LA,≤6,11.9
13,ME,≤6,32.2
14,MI,≤6,35.5
15,MN,≤6,36.7
16,MS,≤6,13.3
18,MT,≤6,52.0
19,NE,≤6,32.7
20,NM,≤6,41.9
21,NC,≤6,33.8
22,ND,≤6,36.3
23,OH,≤6,35.9
24,OK,≤6,17.2
25,OR,≤6,44.5
26,RI,≤6,40.4
28,TN,≤6,29.3
29,UT,≤6,45.9
30,VT,≤6,44.7
31,WA,≤6,45.8
32,WV,≤6,30.5
33,WY,≤6,64.9
34,AK,7–9,41.5
35,AZ,7–9,46.2
36,CO,7–9,41.2
37,DE,7–9,45.6
38,FL,7–9,42.9
39,GA,7–9,27.3
40,HI,7–9,44.4
41,ID,7–9,41.4
42,IN,7–9,55.9
43,IA,7–9,46.6
44,KS,7–9,46.1
45,KY,7–9,46.7
46,LA,7–9,38.5
47,ME,7–9,48.4
48,MI,7–9,40.4
49,MN,7–9,40.0
50,MS,7–9,58.0
51,MO,7–9,10.2
52,MT,7–9,34.8
53,NE,7–9,40.5
54,NM,7–9,29.9
55,NC,7–9,43.3
56,ND,7–9,41.1
57,OH,7–9,41.3
58,OK,7–9,47.0
59,OR,7–9,36.8
60,RI,7–9,27.8
61,SD,7–9,43.1
62,TN,7–9,42.0
63,UT,7–9,34.9
64,VT,7–9,36.1
65,WA,7–9,36.5
66,WV,7–9,45.1
67,WY,7–9,33.6
68,AK,10–13,18.4
69,AZ,10–13,16.4
70,CO,10–13,13.5
71,DE,10–13,16.1
72,FL,10–13,16.1
73,GA,10–13,8.4
74,HI,10–13,13.9
75,ID,10–13,14.3
76,IN,10–13,18.5
77,IA,10–13,16.8
78,KS,10–13,19.3
79,KY,10–13,15.6
80,LA,10–13,36.0
81,ME,10–13,14.6
82,MI,10–13,14.6
83,MN,10–13,14.1
84,MS,10–13,22.3
86,MT,10–13,7.9
87,NE,10–13,19.1
88,NM,10–13,14.4
89,NC,10–13,15.6
90,ND,10–13,17.2
91,OH,10–13,14.3
92,OK,10–13,25.2
93,OR,10–13,10.5
94,RI,10–13,18.4
96,TN,10–13,22.0
97,UT,10–13,12.5
98,VT,10–13,11.7
99,WA,10–13,9.9
100,WV,10–13,18.3
101,WY,10–13,1.5
102,AK,14–15,3.1
103,AZ,14–15,3.3
104,CO,14–15,2.4
105,DE,14–15,3.8
106,FL,14–15,3.3
107,GA,14–15,1.6
108,HI,14–15,3.7
109,ID,14–15,3.7
110,IN,14–15,0.3
111,IA,14–15,2.8
112,KS,14–15,3.9
113,KY,14–15,3.7
114,LA,14–15,9.1
115,ME,14–15,2.1
116,MI,14–15,3.8
117,MN,14–15,3.4
118,MS,14–15,6.0
119,MO,14–15,15.9
120,MT,14–15,3.1
121,NE,14–15,3.6
122,NM,14–15,3.5
123,NC,14–15,3.1
124,ND,14–15,4.2
125,OH,14–15,3.5
126,OK,14–15,6.7
127,OR,14–15,2.3
128,RI,14–15,5.9
130,TN,14–15,3.6
131,UT,14–15,2.6
132,VT,14–15,1.9
133,WA,14–15,2.3
134,WV,14–15,4.8
135,WY,14–15,0.0
136,AK,16–17,3.4
137,AZ,16–17,1.6
138,CO,16–17,2.4
139,DE,16–17,0.5
140,FL,16–17,1.1
141,GA,16–17,1.1
142,HI,16–17,1.9
144,IN,16–17,0.2
145,IA,16–17,2.2
146,KS,16–17,2.3
147,KY,16–17,1.9
148,LA,16–17,3.9
149,ME,16–17,1.6
150,MI,16–17,2.2
151,MN,16–17,2.3
152,MS,16–17,0.3
153,MO,16–17,15.9
154,MT,16–17,1.4
155,NE,16–17,2.4
156,NM,16–17,3.2
157,NC,16–17,2.3
158,ND,16–17,1.1
159,OH,16–17,2.2
160,OK,16–17,2.7
161,OR,16–17,1.8
162,RI,16–17,3.2
164,TN,16–17,2.3
165,UT,16–17,2.0
166,VT,16–17,2.1
167,WA,16–17,1.3
168,WV,16–17,1.1
169,WY,16–17,0.0
171,AZ,18–20,1.5
172,CO,18–20,2.2
173,DE,18–20,0.7
174,FL,18–20,0.9
175,GA,18–20,1.3
176,HI,18–20,1.4
177,ID,18–20,0.5
178,IN,18–20,0.3
