State,miscarriagestotal,abortionstotal,number_of_centers,year,political_affiliation
CT,8210,11950,19,2017,Democrat
ME,2660,2050,20,2017,Democrat
MA,15980,18880,19,2017,Democrat
NH,2650,2330,6,2017,Democrat
RI,2460,3280,3,2017,Democrat
VT,1240,1140,6,2017,Democrat
NJ,24870,47040,50,2017,Democrat
NY,56050,103040,92,2017,Democrat
PA,30870,33840,17,2017,Swing
IL,33510,37000,24,2017,Democrat
IN,17470,10610,7,2017,Republican
MI,24860,26140,23,2017,Democrat
OH,29390,20640,11,2017,Republican
WI,13740,7600,3,2017,Swing
IA,8050,3670,6,2017,Republican
KS,7650,3520,4,2017,Republican
MN,14700,10100,5,2017,Democrat
MO,15580,9860,1,2017,Republican
NE,5390,2250,3,2017,Republican
ND,2240,970,1,2017,Republican
SD,2500,750,1,2017,Republican
DE,2450,2800,3,2017,Democrat
FL,51480,68640,65,2017,Swing
GA,29050,32520,17,2017,Republican
MD,16980,26940,25,2017,Democrat
NC,26490,25060,14,2017,Swing
SC,12530,11380,3,2017,Republican
VA,22050,20290,15,2017,Democrat
WV,3970,2400,1,2017,Republican
AL,12540,7660,5,2017,Republican
KY,11420,4780,1,2017,Republican
MS,7960,4930,1,2017,Republican
TN,17290,11120,8,2017,Republican
AR,7880,3770,3,2017,Republican
LA,13120,9280,3,2017,Republican
OK,10510,4780,4,2017,Republican
TX,81910,56360,21,2017,Republican
AZ,17670,13310,8,2017,Republican
CO,13960,11110,21,2017,Democrat
ID,4610,1790,4,2017,Republican
MT,2510,1510,5,2017,Republican
NV,8100,9670,8,2017,Democrat
NM,5130,3830,5,2017,Democrat
UT,10020,3020,2,2017,Republican
WY,1450,720,2,2017,Republican
AK,2230,1420,6,2017,Republican
CA,107050,131210,151,2017,Democrat
HI,3830,3220,3,2017,Democrat
OR,9600,8950,12,2017,Democrat
WA,19240,17760,33,2017,Democrat
CT,8140,11930,18,2018,Democrat
ME,2670,2060,20,2018,Democrat
MA,15680,19030,19,2018,Democrat
NH,2630,2350,6,2018,Democrat
RI,2420,3180,3,2018,Democrat
VT,1190,1080,6,2018,Democrat
NJ,24900,47410,45,2018,Democrat
NY,55910,108730,93,2018,Democrat
PA,30400,33170,12,2018,Swing
IL,32970,40720,24,2018,Democrat
IN,17360,10480,7,2018,Republican
MI,24650,26810,23,2018,Democrat
OH,29060,20810,9,2018,Republican
WI,13600,8020,3,2018,Swing
IA,7900,3550,6,2018,Republican
KS,7600,3560,4,2018,Republican
MN,14470,10370,5,2018,Democrat
MO,15630,9970,1,2018,Republican
NE,5310,2160,3,2018,Republican
ND,2220,960,1,2018,Republican
SD,2450,750,1,2018,Republican
DE,2420,2940,3,2018,Democrat
FL,51160,69630,63,2018,Swing
GA,28510,33300,17,2018,Republican
MD,16950,27900,22,2018,Democrat
NC,26240,24930,13,2018,Swing
SC,12450,11390,3,2018,Republican
VA,22000,20900,15,2018,Democrat
WV,3860,2130,1,2018,Republican
AL,12320,7800,5,2018,Republican
KY,11250,4780,1,2018,Republican
MS,7890,4970,1,2018,Republican
TN,17230,10990,8,2018,Republican
AR,7770,3720,3,2018,Republican
LA,12770,8530,3,2018,Republican
OK,10610,6580,3,2018,Republican
TX,81420,58410,19,2018,Republican
AZ,17450,13440,8,2018,Republican
CO,13670,11180,21,2018,Democrat
ID,4470,1870,4,2018,Republican
MT,2450,1490,5,2018,Republican
NV,8110,9890,8,2018,Democrat
NM,4980,3790,5,2018,Democrat
UT,9750,3050,2,2018,Republican
WY,1380,710,2,2018,Republican
AK,2160,1430,6,2018,Republican
CA,104540,139820,149,2018,Democrat
HI,3710,3170,3,2018,Democrat
OR,9320,8810,12,2018,Democrat
WA,18980,18160,31,2018,Democrat
CT,8040,11900,18,2019,Democrat
ME,2560,2080,18,2019,Democrat
MA,15690,19170,16,2019,Democrat
NH,2600,2370,6,2019,Democrat
RI,2340,3010,3,2019,Democrat
VT,1180,1040,6,2019,Democrat
NJ,24630,47870,44,2019,Democrat
NY,55540,114410,89,2019,Democrat
PA,30060,32730,16,2019,Swing
IL,32390,44450,29,2019,Democrat
IN,17190,10340,7,2019,Republican
MI,24340,27990,21,2019,Democrat
OH,28970,21120,10,2019,Republican
WI,13480,8440,4,2019,Swing
IA,7870,3490,6,2019,Republican
KS,7430,3610,4,2019,Republican
MN,14220,10520,5,2019,Democrat
MO,15420,10100,2,2019,Republican
NE,5150,2070,3,2019,Republican
ND,2190,950,1,2019,Republican
SD,2360,750,1,2019,Republican
DE,2420,3080,2,2019,Democrat
FL,50940,70630,57,2019,Swing
GA,28670,34560,16,2019,Republican
MD,16860,28770,21,2019,Democrat
NC,26190,24800,14,2019,Swing
SC,12530,11390,3,2019,Republican
VA,21620,21890,15,2019,Democrat
WV,3810,1870,1,2019,Republican
AL,12510,8030,3,2019,Republican
KY,11080,4770,1,2019,Republican
MS,7820,5010,1,2019,Republican
TN,17150,10800,8,2019,Republican
AR,7670,3660,3,2019,Republican
LA,12560,7830,3,2019,Republican
OK,10660,8370,4,2019,Republican
TX,81420,60470,23,2019,Republican
AZ,17210,13620,8,2019,Republican
CO,13670,11280,19,2019,Democrat
ID,4610,1980,4,2019,Republican
MT,2360,1470,6,2019,Republican
NV,8000,10120,7,2019,Democrat
NM,4960,3760,5,2019,Democrat
UT,9660,3110,2,2019,Republican
WY,1380,700,2,2019,Republican
AK,2110,1440,6,2019,Republican
CA,103700,148440,157,2019,Democrat
HI,3670,3130,3,2019,Democrat
OR,9240,8660,12,2019,Democrat
WA,18780,18560,31,2019,Democrat
CT,7810,11460,12,2020,Democrat
ME,2540,2370,20,2020,Democrat
MA,14980,17460,18,2020,Democrat
NH,2570,2150,5,2020,Democrat
RI,2310,2910,2,2020,Democrat
VT,1130,1100,6,2020,Democrat
NJ,24350,48390,43,2020,Democrat
NY,52270,105990,94,2020,Democrat
PA,29580,34950,17,2020,Swing
IL,30810,42250,30,2020,Democrat
IN,16780,10810,7,2020,Republican
MI,23790,30150,22,2020,Democrat
OH,27990,21920,9,2020,Republican
WI,12930,8290,4,2020,Swing
IA,7570,3510,6,2020,Republican
KS,7280,4120,4,2020,Republican
MN,13700,10380,5,2020,Democrat
MO,15010,11710,1,2020,Republican
NE,5050,2020,3,2020,Republican
ND,2110,960,1,2020,Republican
SD,2260,680,1,2020,Republican
DE,2370,2870,2,2020,Democrat
FL,49200,73830,53,2020,Swing
GA,28090,36470,14,2020,Republican
MD,16610,29590,19,2020,Democrat
NC,26000,27030,16,2020,Swing
SC,12310,11830,3,2020,Republican
VA,21230,23390,16,2020,Democrat
WV,3640,1780,1,2020,Republican
AL,12420,9060,3,2020,Republican
KY,10890,5690,1,2020,Republican
MS,7670,5760,1,2020,Republican
TN,16760,10460,8,2020,Republican
AR,7490,4510,2,2020,Republican
LA,12230,7760,3,2020,Republican
OK,10350,8330,4,2020,Republican
TX,79650,61500,22,2020,Republican
AZ,16740,13820,8,2020,Republican
CO,13450,11830,23,2020,Democrat
ID,4520,2130,4,2020,Republican
MT,2310,1510,6,2020,Republican
NV,7820,10870,9,2020,Democrat
