State,year,rate,rate_type,age
AK,2005,1091.7,rate_abortions,lt15
AL,2005,625.5,rate_abortions,lt15
AR,2005,508.7,rate_abortions,lt15
AZ,2005,566.8,rate_abortions,lt15
CA,2005,1573.9,rate_abortions,lt15
CO,2005,1040.6,rate_abortions,lt15
CT,2005,4351.3,rate_abortions,lt15
DC,2005,2883.8,rate_abortions,lt15
DE,2005,1606.9,rate_abortions,lt15
FL,2005,1192.3,rate_abortions,lt15
GA,2005,738.3,rate_abortions,lt15
HI,2005,1786.4,rate_abortions,lt15
IA,2005,1079.5,rate_abortions,lt15
ID,2005,729.9,rate_abortions,lt15
IL,2005,942.9,rate_abortions,lt15
IN,2005,477.8,rate_abortions,lt15
KS,2005,640.0,rate_abortions,lt15
KY,2005,471.0,rate_abortions,lt15
LA,2005,523.0,rate_abortions,lt15
MA,2005,2027.0,rate_abortions,lt15
MD,2005,1361.9,rate_abortions,lt15
ME,2005,1203.2,rate_abortions,lt15
MI,2005,1387.0,rate_abortions,lt15
MN,2005,862.6,rate_abortions,lt15
MO,2005,969.2,rate_abortions,lt15
MS,2005,496.7,rate_abortions,lt15
MT,2005,,rate_abortions,lt15
NC,2005,878.5,rate_abortions,lt15
ND,2005,,rate_abortions,lt15
NE,2005,516.8,rate_abortions,lt15
NH,2005,3317.7,rate_abortions,lt15
NJ,2005,3906.7,rate_abortions,lt15
NM,2005,415.3,rate_abortions,lt15
NV,2005,794.8,rate_abortions,lt15
NY,2005,3522.5,rate_abortions,lt15
OH,2005,999.3,rate_abortions,lt15
OK,2005,341.1,rate_abortions,lt15
OR,2005,931.2,rate_abortions,lt15
PA,2005,1063.5,rate_abortions,lt15
RI,2005,736.4,rate_abortions,lt15
SC,2005,622.5,rate_abortions,lt15
SD,2005,,rate_abortions,lt15
TN,2005,666.3,rate_abortions,lt15
TX,2005,253.7,rate_abortions,lt15
US,2005,1035.1,rate_abortions,lt15
UT,2005,289.3,rate_abortions,lt15
VA,2005,1069.7,rate_abortions,lt15
VT,2005,,rate_abortions,lt15
WA,2005,1544.0,rate_abortions,lt15
WI,2005,703.5,rate_abortions,lt15
WV,2005,,rate_abortions,lt15
WY,2005,,rate_abortions,lt15
AK,2005,481.9,rate_abortions,1517
AL,2005,273.9,rate_abortions,1517
AR,2005,198.0,rate_abortions,1517
AZ,2005,267.6,rate_abortions,1517
CA,2005,735.5,rate_abortions,1517
CO,2005,391.2,rate_abortions,1517
CT,2005,1460.1,rate_abortions,1517
DC,2005,1513.3,rate_abortions,1517
DE,2005,770.8,rate_abortions,1517
FL,2005,672.1,rate_abortions,1517
GA,2005,323.6,rate_abortions,1517
HI,2005,965.3,rate_abortions,1517
IA,2005,396.6,rate_abortions,1517
ID,2005,318.3,rate_abortions,1517
IL,2005,613.1,rate_abortions,1517
IN,2005,248.7,rate_abortions,1517
