state,AbortionTotal,Year
AL,10840,2005
AL,10980,2006
AL,11130,2007
AL,11020,2008
AL,10530,2009
AL,10030,2010
AL,9600,2011
AL,8920,2012
AL,8230,2013
AL,8310,2014
AL,8150,2015
AL,7920,2016
AL,7660,2017
AL,7800,2018
AL,8030,2019
AL,9060,2020
AK,2130,2005
AK,2060,2006
AK,2000,2007
AK,1960,2008
AK,2040,2009
AK,2120,2010
AK,2030,2011
AK,1890,2012
AK,1740,2013
AK,1640,2014
AK,1540,2015
AK,1450,2016
AK,1420,2017
AK,1430,2018
AK,1440,2019
AK,1320,2020
AZ,19710,2005
AZ,18850,2006
AZ,17990,2007
AZ,19770,2008
AZ,17480,2009
AZ,15190,2010
AZ,16270,2011
AZ,15040,2012
AZ,13820,2013
AZ,13240,2014
AZ,13640,2015
AZ,14040,2016
AZ,13310,2017
AZ,13440,2018
AZ,13620,2019
AZ,13820,2020
AR,5200,2005
AR,5450,2006
AR,5690,2007
AR,5710,2008
AR,5630,2009
AR,5490,2010
AR,5210,2011
AR,5010,2012
AR,4810,2013
AR,4350,2014
AR,3930,2015
AR,3590,2016
AR,3770,2017
AR,3720,2018
AR,3660,2019
AR,4510,2020
CA,206260,2005
CA,213550,2006
CA,220840,2007
CA,211930,2008
CA,200720,2009
CA,189110,2010
CA,177360,2011
CA,170420,2012
CA,163550,2013
CA,156690,2014
CA,148000,2015
CA,139320,2016
CA,131210,2017
CA,139820,2018
CA,148440,2019
CA,152400,2020
CO,14720,2005
CO,14990,2006
CO,15160,2007
CO,14920,2008
CO,14330,2009
CO,13730,2010
CO,13130,2011
CO,12400,2012
CO,11660,2013
CO,11760,2014
CO,11410,2015
CO,11050,2016
CO,11110,2017
CO,11180,2018
CO,11280,2019
CO,11830,2020
CT,17340,2005
CT,17580,2006
CT,17730,2007
CT,17210,2008
CT,16350,2009
CT,15480,2010
CT,14630,2011
CT,13900,2012
CT,13360,2013
CT,13280,2014
CT,12770,2015
CT,12260,2016
CT,11950,2017
CT,11930,2018
CT,11900,2019
CT,11460,2020
DE,4140,2005
DE,4990,2006
DE,5850,2007
DE,5650,2008
DE,5520,2009
DE,5380,2010
DE,4690,2011
DE,4010,2012
DE,3340,2013
DE,3200,2014
DE,3040,2015
DE,2880,2016
DE,2800,2017
DE,2940,2018
DE,3080,2019
DE,2870,2020
DC,6390,2005
DC,5900,2006
DC,5400,2007
DC,5880,2008
DC,4970,2009
DC,4060,2010
DC,3400,2011
DC,3570,2012
DC,3740,2013
DC,3800,2014
DC,3330,2015
DC,2870,2016
DC,3930,2017
DC,4620,2018
DC,5030,2019
DC,5010,2020
FL,85360,2005
FL,86980,2006
FL,88600,2007
FL,86310,2008
FL,84150,2009
FL,82020,2010
FL,79890,2011
FL,76730,2012
FL,73560,2013
FL,72630,2014
FL,69390,2015
FL,66150,2016
FL,68640,2017
FL,69630,2018
FL,70630,2019
FL,73830,2020
GA,32040,2005
GA,32690,2006
GA,33680,2007
GA,39370,2008
GA,37260,2009
GA,35160,2010
GA,34460,2011
GA,33620,2012
GA,32550,2013
GA,31120,2014
GA,31750,2015
GA,32390,2016
GA,32520,2017
GA,33300,2018
GA,34560,2019
GA,36470,2020
HI,5330,2005
HI,5490,2006
HI,5650,2007
HI,5650,2008
HI,5590,2009
HI,5530,2010
HI,5540,2011
HI,4900,2012
HI,4260,2013
HI,3750,2014
HI,3370,2015
HI,3130,2016
HI,3220,2017
HI,3170,2018
HI,3130,2019
HI,3120,2020
ID,2540,2005
ID,2700,2006
ID,2860,2007
ID,2580,2008
ID,2490,2009
ID,2410,2010
ID,2340,2011
ID,2090,2012
ID,1850,2013
ID,1790,2014
ID,1780,2015
ID,1780,2016
ID,1790,2017
ID,1870,2018
ID,1980,2019
ID,2130,2020
IL,48420,2005
IL,48560,2006
IL,48710,2007
IL,51670,2008
IL,47020,2009
IL,42370,2010
IL,42360,2011
IL,42020,2012
IL,41430,2013
IL,40120,2014
IL,38830,2015
IL,37590,2016
IL,37000,2017
IL,40720,2018
IL,44450,2019
IL,42250,2020
IN,13180,2005
IN,12810,2006
IN,12440,2007
IN,12300,2008
IN,12020,2009
IN,11600,2010
IN,10710,2011
IN,10200,2012
IN,9910,2013
IN,10130,2014
IN,10180,2015
IN,10240,2016
IN,10610,2017
IN,10480,2018
IN,10340,2019
IN,10810,2020
IA,6130,2005
IA,6390,2006
IA,6660,2007
IA,6160,2008
IA,6010,2009
IA,5860,2010
IA,5430,2011
IA,4790,2012
IA,4150,2013
IA,3930,2014
IA,3990,2015
IA,4050,2016
IA,3670,2017
IA,3550,2018
IA,3490,2019
IA,3510,2020
KS,5620,2005
KS,5670,2006
KS,5720,2007
KS,5670,2008
KS,4830,2009
KS,3990,2010
KS,3870,2011
KS,3910,2012
KS,3940,2013
KS,3800,2014
KS,3660,2015
KS,3520,2016
KS,3520,2017
KS,3560,2018
KS,3610,2019
KS,4120,2020
KY,6060,2005
KY,6080,2006
KY,6110,2007
KY,6380,2008
KY,6170,2009
KY,5960,2010
KY,5820,2011
KY,5500,2012
KY,5180,2013
KY,5180,2014
KY,4910,2015
KY,4640,2016
KY,4780,2017
KY,4780,2018
KY,4770,2019
KY,5690,2020
LA,10330,2005
LA,11220,2006
LA,12520,2007
LA,14110,2008
LA,12930,2009
LA,11750,2010
LA,11310,2011
LA,10470,2012
LA,9630,2013
LA,9620,2014
LA,9830,2015
LA,10040,2016
LA,9280,2017
LA,8530,2018
LA,7830,2019
LA,7760,2020
ME,2840,2005
ME,2940,2006
ME,3030,2007
ME,2970,2008
ME,2830,2009
ME,2640,2010
ME,2410,2011
ME,2390,2012
ME,2380,2013
ME,2400,2014
ME,2240,2015
ME,2080,2016
ME,2050,2017
ME,2060,2018
ME,2080,2019
ME,2370,2020
MD,35250,2005
MD,31990,2006
MD,28720,2007
MD,28390,2008
MD,29630,2009
MD,30890,2010
MD,32140,2011
MD,29610,2012
MD,27080,2013
MD,26430,2014
