state,AbortionTotal,Year
AL,11.4,2005
AL,11.5,2006
AL,11.6,2007
AL,11.5,2008
AL,10.9,2009
AL,10.4,2010
AL,10.0,2011
AL,9.3,2012
AL,8.6,2013
AL,8.7,2014
AL,8.5,2015
AL,8.3,2016
AL,8.1,2017
AL,8.2,2018
AL,8.4,2019
AL,9.5,2020
AK,15.0,2005
AK,14.5,2006
AK,14.1,2007
AK,13.9,2008
AK,14.3,2009
AK,14.7,2010
AK,14.0,2011
AK,12.9,2012
AK,11.8,2013
AK,11.1,2014
AK,10.5,2015
AK,9.8,2016
AK,9.7,2017
AK,9.8,2018
AK,10.0,2019
AK,9.2,2020
AZ,16.5,2005
AZ,15.4,2006
AZ,14.4,2007
AZ,15.7,2008
AZ,13.8,2009
AZ,12.0,2010
AZ,12.8,2011
AZ,11.7,2012
AZ,10.6,2013
AZ,10.1,2014
AZ,10.3,2015
AZ,10.5,2016
AZ,9.8,2017
AZ,9.8,2018
AZ,9.7,2019
AZ,9.7,2020
AR,9.2,2005
AR,9.6,2006
AR,10.0,2007
AR,10.0,2008
AR,9.9,2009
AR,9.6,2010
AR,9.1,2011
AR,8.7,2012
AR,8.3,2013
AR,7.5,2014
AR,6.8,2015
AR,6.2,2016
AR,6.5,2017
AR,6.4,2018
AR,6.3,2019
AR,7.8,2020
CA,26.5,2005
CA,27.4,2006
CA,28.3,2007
CA,27.1,2008
CA,25.6,2009
CA,24.0,2010
CA,22.4,2011
CA,21.4,2012
CA,20.5,2013
CA,19.5,2014
CA,18.4,2015
CA,17.3,2016
CA,16.3,2017
CA,17.3,2018
CA,18.4,2019
CA,19.0,2020
CO,14.9,2005
CO,15.0,2006
CO,15.1,2007
CO,14.7,2008
CO,14.0,2009
CO,13.4,2010
CO,12.6,2011
CO,11.7,2012
CO,10.9,2013
CO,10.8,2014
CO,10.3,2015
CO,9.8,2016
CO,9.7,2017
CO,9.6,2018
CO,9.6,2019
CO,9.9,2020
CT,24.4,2005
CT,24.9,2006
CT,25.3,2007
CT,24.6,2008
CT,23.5,2009
CT,22.4,2010
CT,21.2,2011
CT,20.2,2012
CT,19.5,2013
CT,19.5,2014
CT,18.9,2015
CT,18.2,2016
CT,17.8,2017
CT,17.8,2018
CT,17.7,2019
CT,17.1,2020
DE,23.2,2005
DE,27.9,2006
DE,32.5,2007
DE,31.4,2008
DE,30.7,2009
DE,30.0,2010
DE,26.2,2011
DE,22.4,2012
DE,18.6,2013
DE,17.8,2014
DE,16.9,2015
DE,16.1,2016
DE,15.6,2017
DE,16.4,2018
DE,17.1,2019
DE,15.8,2020
DC,44.4,2005
DC,40.1,2006
DC,36.2,2007
DC,38.4,2008
DC,31.6,2009
DC,24.9,2010
DC,20.3,2011
DC,20.8,2012
DC,21.3,2013
DC,21.3,2014
DC,18.3,2015
DC,15.5,2016
DC,21.0,2017
DC,24.4,2018
DC,26.3,2019
DC,26.1,2020
FL,24.3,2005
FL,24.4,2006
FL,24.8,2007
FL,24.1,2008
FL,23.6,2009
FL,23.0,2010
FL,22.3,2011
FL,21.2,2012
FL,20.2,2013
FL,19.7,2014
FL,18.6,2015
FL,17.5,2016
FL,17.9,2017
FL,18.0,2018
FL,18.1,2019
FL,18.8,2020
GA,16.1,2005
GA,16.1,2006
GA,16.4,2007
GA,19.0,2008
GA,18.0,2009
GA,16.9,2010
GA,16.6,2011
GA,16.1,2012
GA,15.6,2013
GA,14.8,2014
GA,15.0,2015
GA,15.2,2016
GA,15.2,2017
GA,15.4,2018
GA,15.8,2019
GA,16.6,2020
HI,20.6,2005
HI,21.0,2006
HI,21.8,2007
HI,21.7,2008
HI,21.4,2009
HI,21.0,2010
HI,20.9,2011
HI,18.4,2012
HI,15.9,2013
HI,14.0,2014
HI,12.6,2015
HI,11.7,2016
HI,12.1,2017
HI,12.0,2018
HI,12.0,2019
HI,12.1,2020
ID,8.7,2005
ID,9.1,2006
ID,9.5,2007
ID,8.5,2008
ID,8.1,2009
ID,7.9,2010
ID,7.6,2011
ID,6.8,2012
ID,5.9,2013
ID,5.7,2014
ID,5.6,2015
ID,5.5,2016
ID,5.4,2017
ID,5.5,2018
ID,5.7,2019
ID,6.0,2020
IL,18.1,2005
IL,18.2,2006
IL,18.3,2007
IL,19.5,2008
IL,17.8,2009
IL,16.1,2010
IL,16.1,2011
IL,16.1,2012
IL,15.9,2013
IL,15.5,2014
IL,15.1,2015
IL,14.7,2016
IL,14.6,2017
IL,16.2,2018
IL,17.8,2019
IL,17.1,2020
IN,10.1,2005
IN,9.8,2006
IN,9.6,2007
IN,9.5,2008
IN,9.3,2009
IN,9.0,2010
IN,8.3,2011
IN,7.9,2012
IN,7.7,2013
IN,7.8,2014
IN,7.9,2015
IN,7.9,2016
IN,8.2,2017
IN,8.0,2018
IN,7.9,2019
IN,8.2,2020
IA,10.4,2005
IA,10.9,2006
IA,11.5,2007
IA,10.6,2008
IA,10.4,2009
IA,10.1,2010
IA,9.4,2011
IA,8.3,2012
IA,7.1,2013
IA,6.7,2014
IA,6.8,2015
IA,6.9,2016
IA,6.2,2017
IA,6.0,2018
IA,5.8,2019
IA,5.9,2020
KS,10.0,2005
KS,10.2,2006
KS,10.3,2007
KS,10.2,2008
KS,8.7,2009
KS,7.2,2010
KS,7.0,2011
KS,7.0,2012
