Geographic Region and State,Facilities (n) 2017,Facilities (n) 2018,Facilities (n) 2019,Facilities (n) 2020,Facilities (n) 2021,Facilities (n) 2022,Facilities (n) 2023,Women of Reproductive Age (15-49 years) per facility 2017,Women of Reproductive Age (15-49 years) per facility 2018,Women of Reproductive Age (15-49 years) per facility 2019,Women of Reproductive Age (15-49 years) per facility 2020,Women of Reproductive Age (15-49 years) per facility 2021,Women of Reproductive Age (15-49 years) per facility 2022,Women of Reproductive Age (15-49 years) per facility 2023
United States (Total),774,749,752,758,790,812,967,"95,866","99,199","98,936","98,153","94,177","91,626","77,923"
Northeast,232,222,216,217,223,257,266,"54,759","56,938","58,176","57,908","56,350","48,895","47,651"
New England,73,72,67,63,75,87,107,"45,951","46,512","49,827","52,990","44,512","38,372","31,526"
Connecticut,19,18,18,12,18,22,27,"41,825","43,957","43,686","65,529","43,686","35,743","29,816"
Maine,20,20,18,20,21,26,31,"13,773","13,755","15,276","13,749","13,094","10,576","9,066"
Massachusetts,19,19,16,18,19,21,22,"85,141","85,162","100,874","89,666","84,946","76,856","73,261"
New Hampshire,6,6,6,5,7,5,10,"48,381","48,184","48,183","57,820","41,300","57,820","29,132"
Rhode Island,3,3,3,2,3,4,8,"80,659","80,493","80,251","120,377","80,251","60,188","30,842"
Vermont,6,6,6,6,7,9,9,"22,392","22,318","22,205","22,205","19,033","14,803","15,268"
Middle Atlantic,159,150,149,154,148,170,159,"58,803","61,942","61,930","59,920","62,349","54,280","58,502"
New Jersey,50,45,44,43,43,45,46,"39,832","44,018","44,781","45,823","45,823","43,786","44,346"
New York,92,93,89,94,89,106,89,"49,669","48,698","50,397","47,716","50,397","42,314","50,081"
Pennsylvania,17,12,16,17,16,19,24,"164,027","231,794","173,246","163,055","173,246","145,891","116,862"
Midwest,89,87,93,93,103,107,143,"170,466","174,196","162,717","162,717","146,920","141,427","106,053"
East North Central,68,66,71,72,77,82,97,"154,265","158,523","146,929","144,888","135,480","127,219","107,115"
Illinois,24,24,29,30,29,40,48,"122,599","121,559","99,837","96,509","99,837","72,382","59,448"
Indiana,7,7,7,7,7,7,1,"214,920","215,903","216,785","216,785","216,785","216,785","1,529,132"
Michigan,23,23,21,22,28,26,33,"95,770","95,520","104,220","99,483","78,165","84,178","65,994"
Ohio,11,9,10,9,9,9,11,"234,446","286,244","257,095","285,661","285,661","285,661","233,214"
Wisconsin,3,3,4,4,4,0,4,"420,518","420,208","314,906","314,906","314,906",--,"316,079"
West North Central,21,21,22,21,26,25,46,"222,926","223,451","213,671","223,846","180,798","188,030","103,814"
Iowa,6,6,6,6,7,7,9,"113,722","113,736","113,702","113,702","97,458","97,458","77,452"
Kansas,4,4,4,4,4,4,10,"159,933","160,263","160,156","160,156","160,156","160,156","64,939"
Minnesota,5,5,5,5,9,10,15,"246,603","247,804","248,807","248,807","138,226","124,403","83,802"
Missouri,1,1,2,1,1,0,2,"1,356,931","1,356,955","678,931","1,357,862","1,357,862",--,"686,309"
Nebraska,3,3,3,3,3,3,5,"140,744","141,538","142,036","142,036","142,036","142,036","87,340"
North Dakota,1,1,1,1,1,1,3,"164,310","164,866","165,556","165,556","165,556","165,556","57,985"
South Dakota,1,1,1,1,1,0,2,"182,883","183,559","184,364","184,364","184,364",--,"94,338"
South,193,184,181,173,181,145,186,"146,907","154,876","158,189","165,504","158,189","197,463","157,682"
South Atlantic,147,141,135,129,136,145,176,"99,431","104,164","109,214","114,293","108,411","101,682","85,599"
Delaware,3,3,2,2,3,5,10,"69,645","69,573","104,454","104,454","69,636","41,781","21,699"
District of Columbia,4,4,6,5,5,7,10,"51,347","51,789","34,787","41,744","41,744","29,817","19,833"
Florida,65,63,57,53,55,54,57,"69,239","71,987","79,984","86,020","82,892","84,427","82,177"
Georgia,17,17,16,14,15,15,17,"147,157","148,198","158,681","181,350","169,260","169,260","153,070"
Maryland,25,22,21,19,21,23,34,"55,597","62,917","65,640","72,550","65,640","59,932","41,047"
North Carolina,14,13,14,16,16,17,17,"168,875","183,326","171,254","149,847","149,847","141,032","143,745"
South Carolina,3,3,3,3,3,3,5,"374,492","377,334","380,350","380,350","380,350","380,350","233,890"
Virginia,15,15,15,16,17,21,25,"129,435","129,398","129,297","121,216","114,086","92,355","79,509"
West Virginia,1,1,1,1,1,0,1,"380,730","376,293","371,751","371,751","371,751",--,"367,420"
East South Central,15,15,13,13,15,0,5,"287,931","288,125","332,623","332,623","288,273",--,"884,607"
Alabama,5,5,3,3,5,0,1,"221,821","221,608","368,957","368,957","221,374",--,"1,149,153"
Kentucky,1,1,1,1,2,0,2,"991,091","988,756","986,520","986,520","493,260",--,"497,944"
Mississippi,1,1,1,1,1,0,1,"686,239","680,107","676,441","676,441","676,441",--,"675,326"
Tennessee,8,8,8,8,7,0,1,"191,566","193,121","194,283","194,283","222,038",--,"1,602,667"
West South Central,31,28,33,31,30,0,5,"303,793","338,862","289,824","308,522","318,806",--,"1,968,081"
Arkansas,3,3,3,2,2,0,2,"223,031","223,282","223,439","335,159","335,159",--,"336,300"
Louisiana,3,3,3,3,3,0,1,"357,400","354,996","352,594","352,594","352,594",--,"1,043,369"
Oklahoma,4,3,4,4,3,0,1,"220,452","294,436","221,773","221,773","295,697",--,"912,523"
Texas,21,19,23,22,22,0,1,"323,547","361,578","302,130","315,863","315,863",--,"7,211,901"
West,260,256,262,275,283,303,372,"68,993","70,458","69,126","65,858","63,996","59,772","48,876"
Mountain,55,55,53,59,63,65,103,"99,869","101,334","106,595","95,755","89,675","86,916","56,776"
