Area,≤6,7–9,10–13,14–15,16–17,18–20,≥21,Total abortions reported by known gestational age
Alabama**,848 (22.5),"1,816 (48.1)",731 (19.4),171 (4.5),89 (2.4),97 (2.6),23 (0.6),"3,775 (99.9)"
Alaska,417 (33.4),518 (41.5),229 (18.4),39 (3.1),43 (3.4),—††,—††,"1,247 (100.0)"
Arizona,"3,444 (29.9)","5,319 (46.2)","1,885 (16.4)",382 (3.3),188 (1.6),172 (1.5),115 (1.0),"11,505 (99.8)"
Arkansas**,20 (1.2),530 (32.7),702 (43.3),155 (9.6),94 (5.8),106 (6.5),14 (0.9),"1,621 (100.0)"
Colorado,"4,915 (34.8)","5,829 (41.2)","1,907 (13.5)",341 (2.4),344 (2.4),313 (2.2),488 (3.5),"14,137 (99.9)"
Delaware,779 (32.3),"1,100 (45.6)",389 (16.1),92 (3.8),12 (0.5),18 (0.7),24 (1.0),"2,414 (98.7)"
Florida,"28,983 (35.1)","35,418 (42.9)","13,314 (16.1)","2,693 (3.3)",882 (1.1),742 (0.9),549 (0.7),"82,581 (100.0)"
Georgia,"23,286 (60.0)","10,582 (27.3)","3,278 (8.4)",630 (1.6),426 (1.1),492 (1.3),125 (0.3),"38,819 (100.0)"
Hawaii,649 (33.0),873 (44.4),273 (13.9),72 (3.7),38 (1.9),28 (1.4),33 (1.7),"1,966 (99.8)"
Idaho,399 (39.9),414 (41.4),143 (14.3),37 (3.7),—††,5 (0.5),—††,"1,000 (97.4)"
Indiana,"2,332 (24.5)","5,329 (55.9)","1,765 (18.5)",28 (0.3),19 (0.2),28 (0.3),29 (0.3),"9,530 (100.0)"
Iowa,"1,210 (29.8)","1,895 (46.6)",681 (16.8),113 (2.8),88 (2.2),65 (1.6),12 (0.3),"4,064 (99.9)"
Kansas,"3,165 (25.7)","5,681 (46.1)","2,381 (19.3)",485 (3.9),282 (2.3),273 (2.2),50 (0.4),"12,317 (100.0)"
Kentucky,746 (29.3),"1,192 (46.7)",399 (15.6),95 (3.7),48 (1.9),59 (2.3),11 (0.4),"2,550 (100.0)"
Louisiana,544 (11.9),"1,760 (38.5)","1,647 (36.0)",418 (9.1),178 (3.9),23 (0.5),0 (0.0),"4,570 (100.0)"
Maine,715 (32.2),"1,075 (48.4)",325 (14.6),46 (2.1),36 (1.6),—††,—††,"2,221 (99.8)"
