State_y,State,age,percent
Alaska,AK,10–13,18.4
Arizona,AZ,10–13,16.4
Colorado,CO,10–13,13.5
Delaware,DE,10–13,16.1
Florida,FL,10–13,16.1
Georgia,GA,10–13,8.4
Hawaii,HI,10–13,13.9
Idaho,ID,10–13,14.3
Indiana,IN,10–13,18.5
Iowa,IA,10–13,16.8
Kansas,KS,10–13,19.3
Kentucky,KY,10–13,15.6
Louisiana,LA,10–13,36.0
Maine,ME,10–13,14.6
Michigan,MI,10–13,14.6
Minnesota,MN,10–13,14.1
Mississippi,MS,10–13,22.3
Missouri,MO,10–13,
Montana,MT,10–13,7.9
Nebraska,NE,10–13,19.1
New Mexico,NM,10–13,14.4
North Carolina,NC,10–13,15.6
North Dakota,ND,10–13,17.2
Ohio,OH,10–13,14.3
Oklahoma,OK,10–13,25.2
Oregon,OR,10–13,10.5
Rhode Island,RI,10–13,18.4
South Dakota,SD,10–13,
Tennessee,TN,10–13,22.0
Utah,UT,10–13,12.5
Vermont,VT,10–13,11.7
Washington,WA,10–13,9.9
West Virginia,WV,10–13,18.3
Wyoming,WY,10–13,1.5
Alaska,AK,14–15,3.1
Arizona,AZ,14–15,3.3
Colorado,CO,14–15,2.4
Delaware,DE,14–15,3.8
Florida,FL,14–15,3.3
Georgia,GA,14–15,1.6
Hawaii,HI,14–15,3.7
Idaho,ID,14–15,3.7
Indiana,IN,14–15,0.3
Iowa,IA,14–15,2.8
Kansas,KS,14–15,3.9
Kentucky,KY,14–15,3.7
Louisiana,LA,14–15,9.1
Maine,ME,14–15,2.1
Michigan,MI,14–15,3.8
Minnesota,MN,14–15,3.4
Mississippi,MS,14–15,6.0
Missouri,MO,14–15,15.9
Montana,MT,14–15,3.1
Nebraska,NE,14–15,3.6
New Mexico,NM,14–15,3.5
North Carolina,NC,14–15,3.1
North Dakota,ND,14–15,4.2
Ohio,OH,14–15,3.5
Oklahoma,OK,14–15,6.7
Oregon,OR,14–15,2.3
Rhode Island,RI,14–15,5.9
South Dakota,SD,14–15,
Tennessee,TN,14–15,3.6
Utah,UT,14–15,2.6
Vermont,VT,14–15,1.9
Washington,WA,14–15,2.3
West Virginia,WV,14–15,4.8
Wyoming,WY,14–15,0.0
Alaska,AK,16–17,3.4
Arizona,AZ,16–17,1.6
Colorado,CO,16–17,2.4
Delaware,DE,16–17,0.5
Florida,FL,16–17,1.1
Georgia,GA,16–17,1.1
Hawaii,HI,16–17,1.9
Idaho,ID,16–17,
Indiana,IN,16–17,0.2
Iowa,IA,16–17,2.2
Kansas,KS,16–17,2.3
Kentucky,KY,16–17,1.9
Louisiana,LA,16–17,3.9
Maine,ME,16–17,1.6
Michigan,MI,16–17,2.2
Minnesota,MN,16–17,2.3
Mississippi,MS,16–17,0.3
Missouri,MO,16–17,15.9
Montana,MT,16–17,1.4
Nebraska,NE,16–17,2.4
New Mexico,NM,16–17,3.2
North Carolina,NC,16–17,2.3
North Dakota,ND,16–17,1.1
Ohio,OH,16–17,2.2
Oklahoma,OK,16–17,2.7
