state,Year,AbortionTotal
AK,2005,2130
AL,2005,10840
AR,2005,5200
AZ,2005,19710
CA,2005,206260
CO,2005,14720
CT,2005,17340
DC,2005,6390
DE,2005,4140
FL,2005,85360
GA,2005,32040
HI,2005,5330
IA,2005,6130
ID,2005,2540
IL,2005,48420
IN,2005,13180
KS,2005,5620
KY,2005,6060
LA,2005,10330
MA,2005,27800
MD,2005,35250
ME,2005,2840
MI,2005,39930
MN,2005,13370
MO,2005,14900
MS,2005,7930
MT,2005,2020
NC,2005,29730
ND,2005,890
NE,2005,2990
NH,2005,3060
NJ,2005,60330
NM,2005,6690
NV,2005,12990
NY,2005,152340
OH,2005,33140
OK,2005,7420
OR,2005,11900
PA,2005,38110
RI,2005,4680
SC,2005,13320
SD,2005,980
TN,2005,15520
TX,2005,84560
US,2005,1206200
UT,2005,3610
VA,2005,30590
VT,2005,1810
WA,2005,23680
WI,2005,10920
WV,2005,2700
WY,2005,1220
AK,2006,2060
AL,2006,10980
AR,2006,5450
AZ,2006,18850
CA,2006,213550
CO,2006,14990
CT,2006,17580
DC,2006,5900
DE,2006,4990
FL,2006,86980
GA,2006,32690
HI,2006,5490
IA,2006,6390
ID,2006,2700
IL,2006,48560
IN,2006,12810
KS,2006,5670
KY,2006,6080
LA,2006,11220
MA,2006,27130
MD,2006,31990
ME,2006,2940
MI,2006,37530
MN,2006,13420
MO,2006,15070
MS,2006,7880
MT,2006,2070
NC,2006,29970
ND,2006,900
NE,2006,2690
NH,2006,3030
NJ,2006,58030
NM,2006,7020
NV,2006,13320
NY,2006,148030
OH,2006,32880
OK,2006,7450
OR,2006,12150
PA,2006,39770
RI,2006,4550
SC,2006,13590
SD,2006,970
TN,2006,15550
TX,2006,82540
US,2006,1242000
UT,2006,3780
VA,2006,31670
VT,2006,1760
WA,2006,24350
WI,2006,10390
WV,2006,2880
WY,2006,1200
AK,2007,2000
AL,2007,11130
AR,2007,5690
AZ,2007,17990
CA,2007,220840
CO,2007,15160
CT,2007,17730
DC,2007,5400
DE,2007,5850
FL,2007,88600
GA,2007,33680
HI,2007,5650
IA,2007,6660
ID,2007,2860
IL,2007,48710
IN,2007,12440
KS,2007,5720
KY,2007,6110
LA,2007,12520
MA,2007,26460
MD,2007,28720
ME,2007,3030
MI,2007,35780
MN,2007,13480
MO,2007,15250
MS,2007,7850
MT,2007,2110
NC,2007,30220
ND,2007,910
NE,2007,2500
NH,2007,2990
NJ,2007,55740
NM,2007,7350
NV,2007,13630
NY,2007,144390
OH,2007,32620
OK,2007,7480
OR,2007,12410
PA,2007,42550
RI,2007,4420
SC,2007,13750
SD,2007,960
TN,2007,15590
TX,2007,80510
US,2007,1209640
UT,2007,3940
VA,2007,32750
VT,2007,1720
WA,2007,25030
WI,2007,9870
WV,2007,3070
WY,2007,1170
AK,2008,1960
AL,2008,11020
AR,2008,5710
AZ,2008,19770
CA,2008,211930
CO,2008,14920
CT,2008,17210
DC,2008,5880
DE,2008,5650
FL,2008,86310
GA,2008,39370
HI,2008,5650
IA,2008,6160
ID,2008,2580
IL,2008,51670
IN,2008,12300
KS,2008,5670
KY,2008,6380
LA,2008,14110
MA,2008,25800
MD,2008,28390
ME,2008,2970
MI,2008,36050
MN,2008,12580
MO,2008,15160
MS,2008,8210
MT,2008,2040
NC,2008,29000
ND,2008,1010
NE,2008,2850
NH,2008,2860
NJ,2008,54730
NM,2008,6730
NV,2008,13020
NY,2008,149070
OH,2008,32370
OK,2008,7500
OR,2008,11800
PA,2008,46670
RI,2008,4340
SC,2008,13200
SD,2008,970
TN,2008,16210
TX,2008,82690
US,2008,1212350
UT,2008,3880
VA,2008,31360
VT,2008,1730
WA,2008,24670
WI,2008,9660
WV,2008,2680
WY,2008,1060
AK,2009,2040
AL,2009,10530
AR,2009,5630
AZ,2009,17480
CA,2009,200720
CO,2009,14330
CT,2009,16350
DC,2009,4970
DE,2009,5520
FL,2009,84150
GA,2009,37260
HI,2009,5590
IA,2009,6010
ID,2009,2490
IL,2009,47020
IN,2009,12020
KS,2009,4830
KY,2009,6170
LA,2009,12930
MA,2009,25240
MD,2009,29630
ME,2009,2830
MI,2009,33410
MN,2009,11780
MO,2009,13550
MS,2009,7640
MT,2009,2000
NC,2009,28340
ND,2009,1000
NE,2009,2630
NH,2009,2840
NJ,2009,51930
NM,2009,6420
NV,2009,12790
NY,2009,144390
OH,2009,30760
OK,2009,7060
OR,2009,11020
PA,2009,44820
RI,2009,4100
SC,2009,13050
SD,2009,900
TN,2009,15290
TX,2009,81060
US,2009,1151600
UT,2009,3690
VA,2009,30950
VT,2009,1670
WA,2009,23530
WI,2009,9420
WV,2009,3070
WY,2009,1030
AK,2010,2120
AL,2010,10030
AR,2010,5490
AZ,2010,15190
CA,2010,189110
CO,2010,13730
CT,2010,15480
DC,2010,4060
DE,2010,5380
FL,2010,82020
GA,2010,35160
HI,2010,5530
IA,2010,5860
ID,2010,2410
IL,2010,42370
IN,2010,11600
KS,2010,3990
KY,2010,5960
LA,2010,11750
MA,2010,24790
MD,2010,30890
ME,2010,2640
MI,2010,30770
MN,2010,11120
MO,2010,11930
MS,2010,7070
MT,2010,1980
NC,2010,27670
ND,2010,980
NE,2010,2410
NH,2010,2830
NJ,2010,49130
NM,2010,6110
NV,2010,12570
NY,2010,139700
OH,2010,29140
OK,2010,6510
OR,2010,10250
PA,2010,42250
RI,2010,3850
SC,2010,12900
SD,2010,840
TN,2010,14370
TX,2010,78130
US,2010,1102670
UT,2010,3470
VA,2010,30550
VT,2010,1600
WA,2010,22380
WI,2010,9140
WV,2010,3460
WY,2010,1010
AK,2011,2030
AL,2011,9600
AR,2011,5210
AZ,2011,16270
CA,2011,177360
CO,2011,13130
CT,2011,14630
DC,2011,3400
DE,2011,4690
FL,2011,79890
GA,2011,34460
HI,2011,5540
IA,2011,5430
ID,2011,2340
IL,2011,42360
IN,2011,10710
KS,2011,3870
KY,2011,5820
LA,2011,11310
MA,2011,24430
MD,2011,32140
ME,2011,2410
MI,2011,29270
MN,2011,10690
MO,2011,11510
MS,2011,6700
MT,2011,1990
NC,2011,25080
ND,2011,940
NE,2011,2550
NH,2011,2880
NJ,2011,46670
NM,2011,5520
NV,2011,11960
NY,2011,136280
OH,2011,27930
OK,2011,5910
OR,2011,10020
PA,2011,39200
RI,2011,3690
SC,2011,11580
SD,2011,850
TN,2011,13670
TX,2011,72140
US,2011,1058490
UT,2011,3240
VA,2011,29160
VT,2011,1610
WA,2011,21830
WI,2011,8660
WV,2011,3320
WY,2011,1060
AK,2012,1890
AL,2012,8920
AR,2012,5010
AZ,2012,15040
CA,2012,170420
CO,2012,12400
CT,2012,13900
DC,2012,3570
DE,2012,4010
FL,2012,76730
GA,2012,33620
HI,2012,4900
IA,2012,4790
ID,2012,2090
IL,2012,42020
IN,2012,10200
KS,2012,3910
KY,2012,5500
LA,2012,10470
MA,2012,22840
MD,2012,29610
ME,2012,2390
MI,2012,28780
MN,2012,10130
MO,2012,11080
MS,2012,6280
MT,2012,1820
NC,2012,25960
ND,2012,920
NE,2012,2510
NH,2012,2610
NJ,2012,44680
NM,2012,4860
NV,2012,10750
NY,2012,126630
OH,2012,26200
OK,2012,5830
OR,2012,9310
PA,2012,36560
RI,2012,3410
SC,2012,11440
SD,2012,840
TN,2012,13210
TX,2012,69520
US,2012,1011070
UT,2012,3210
VA,2012,29510
VT,2012,1560
WA,2012,20470
WI,2012,8080
WV,2012,2800
WY,2012,940
AK,2013,1740
AL,2013,8230
AR,2013,4810
AZ,2013,13820
CA,2013,163550
CO,2013,11660
CT,2013,13360
DC,2013,3740
DE,2013,3340
FL,2013,73560
GA,2013,32550
HI,2013,4260
IA,2013,4150
ID,2013,1850
IL,2013,41430
IN,2013,9910
KS,2013,3940
KY,2013,5180
LA,2013,9630
MA,2013,21250
MD,2013,27080
ME,2013,2380
MI,2013,28420
MN,2013,9570
MO,2013,10610
MS,2013,5860
MT,2013,1660
NC,2013,26850
ND,2013,900
NE,2013,2440
NH,2013,2340
NJ,2013,43340
NM,2013,4190
NV,2013,9550
NY,2013,116970
OH,2013,24470
OK,2013,5760
OR,2013,8600
PA,2013,34580
RI,2013,3130
SC,2013,11300
SD,2013,830
TN,2013,12760
TX,2013,66910
US,2013,958700
UT,2013,3170
VA,2013,29860
VT,2013,1490
WA,2013,19100
WI,2013,7510
WV,2013,2280
WY,2013,820
AK,2014,1640
AL,2014,8310
AR,2014,4350
AZ,2014,13240
CA,2014,156690
CO,2014,11760
CT,2014,13280
DC,2014,3800
DE,2014,3200
FL,2014,72630
GA,2014,31120
HI,2014,3750
IA,2014,3930
ID,2014,1790
IL,2014,40120
IN,2014,10130
KS,2014,3800
KY,2014,5180
LA,2014,9620
MA,2014,21280
MD,2014,26430
ME,2014,2400
MI,2014,28130
MN,2014,9230
MO,2014,9180
MS,2014,5540
MT,2014,1520
NC,2014,26410
ND,2014,1020
NE,2014,2360
NH,2014,2530
NJ,2014,43990
NM,2014,4030
NV,2014,10840
NY,2014,117580
OH,2014,23220
OK,2014,5210
OR,2014,8760
PA,2014,34230
RI,2014,3220
SC,2014,10940
SD,2014,810
TN,2014,12300
TX,2014,56400
US,2014,926190
UT,2014,2960
VA,2014,24590
VT,2014,1380
WA,2014,19150
WI,2014,7430
WV,2014,2280
WY,2014,850
AK,2015,1540
AL,2015,8150
AR,2015,3930
AZ,2015,13640
CA,2015,148000
CO,2015,11410
CT,2015,12770
DC,2015,3330
DE,2015,3040
FL,2015,69390
GA,2015,31750
HI,2015,3370
IA,2015,3990
ID,2015,1780
IL,2015,38830
IN,2015,10180
KS,2015,3660
KY,2015,4910
LA,2015,9830
MA,2015,20370
MD,2015,26010
ME,2015,2240
MI,2015,27290
MN,2015,9360
MO,2015,9640
MS,2015,5300
MT,2015,1530
NC,2015,24870
ND,2015,990
NE,2015,2260
NH,2015,2480
NJ,2015,45680
NM,2015,4120
NV,2015,10150
NY,2015,113350
OH,2015,21980
OK,2015,4800
OR,2015,8950
PA,2015,34550
RI,2015,3290
SC,2015,10930
SD,2015,770
TN,2015,11770
TX,2015,55690
US,2015,899270
UT,2015,3010
VA,2015,23290
VT,2015,1320
WA,2015,18340
WI,2015,7360
WV,2015,2380
WY,2015,810
AK,2016,1450
AL,2016,7920
AR,2016,3590
AZ,2016,14040
CA,2016,139320
CO,2016,11050
CT,2016,12260
DC,2016,2870
DE,2016,2880
FL,2016,66150
GA,2016,32390
HI,2016,3130
IA,2016,4050
ID,2016,1780
IL,2016,37590
IN,2016,10240
KS,2016,3520
KY,2016,4640
LA,2016,10040
MA,2016,19470
MD,2016,25730
ME,2016,2080
MI,2016,26460
MN,2016,9590
MO,2016,10100
MS,2016,5100
MT,2016,1540
NC,2016,23320
ND,2016,960
NE,2016,2170
NH,2016,2410
NJ,2016,47370
NM,2016,4210
NV,2016,9460
NY,2016,108350
OH,2016,20790
OK,2016,4550
OR,2016,9140
PA,2016,34870
RI,2016,3340
SC,2016,10920
SD,2016,730
TN,2016,11230
TX,2016,55100
US,2016,874080
UT,2016,3050
VA,2016,21990
VT,2016,1260
WA,2016,17530
WI,2016,7310
WV,2016,2490
WY,2016,770
AK,2017,1420
AL,2017,7660
AR,2017,3770
AZ,2017,13310
CA,2017,131210
CO,2017,11110
CT,2017,11950
DC,2017,3930
DE,2017,2800
FL,2017,68640
GA,2017,32520
HI,2017,3220
IA,2017,3670
